Lwl,B,T,Cb,V_kn,L_B,B_T,Fn,R_F_kN,R_R_kN,R_T_kN,P_E_kW
165.169072,17.589792,7.257357,0.845590,18.514193,9.390053,2.423719,0.236616,485.831643,218.864197,727.080803,6925.092414
93.747017,18.580241,7.658141,0.588437,21.631492,5.045522,2.426208,0.366954,305.017315,321.446283,624.432571,6948.805244
172.204503,26.947492,12.655026,0.669215,20.045571,6.390372,2.129391,0.250899,771.186346,523.689252,1261.715576,13011.219578
174.998530,22.316136,10.165934,0.761069,22.646053,7.841793,2.195188,0.281176,894.856321,960.428291,1863.109614,21705.461836
188.835593,22.206783,9.721001,0.577887,17.503967,8.503510,2.284413,0.209218,458.321322,111.556459,570.595142,5138.101365
177.253421,31.673380,9.273056,0.590516,15.747304,5.596290,3.415636,0.194273,424.833181,104.078159,533.437767,4321.435866
165.034764,28.741730,6.903867,0.611653,14.004242,5.741991,4.163135,0.179050,276.016606,55.783516,342.184262,2465.231709
157.302485,18.726072,7.854186,0.766822,20.110127,8.400186,2.384215,0.263360,528.967731,414.764482,950.154294,9829.853832
143.482066,26.362109,11.374518,0.594851,10.330413,5.442739,2.317646,0.141652,162.155905,24.552543,184.705861,981.604338
174.424814,22.080410,7.512180,0.671375,14.553228,7.899528,2.939282,0.180992,299.049510,49.205304,351.320984,2630.277336
89.200682,16.968139,4.930731,0.616971,20.416529,5.256951,3.441303,0.355060,210.216669,259.453493,491.129863,5158.416048
205.217274,32.055252,10.078386,0.819529,12.675917,6.401986,3.180594,0.145337,456.749427,63.810153,544.697697,3552.000547
219.049476,27.492654,10.644673,0.573080,12.605030,7.967564,2.582762,0.139887,324.957484,44.168628,375.247321,2433.321990
143.967748,19.309718,6.616378,0.551930,22.446451,7.455715,2.918473,0.307269,426.768197,515.746574,923.614514,10665.385175
130.795450,15.880969,5.671684,0.715701,21.166345,8.235987,2.800045,0.303986,365.538365,444.061096,828.067742,9016.746255
225.432570,24.013509,6.270715,0.717418,22.763328,9.387740,3.829469,0.249018,900.976859,558.111149,1464.279589,17147.383803
155.467579,17.096485,5.306783,0.569623,22.096268,9.093541,3.221629,0.291073,382.262467,382.317250,781.389341,8882.281169
103.264462,19.759156,6.071705,0.760968,22.023913,5.226158,3.254301,0.355978,399.729453,551.512594,945.977606,10717.992212
218.310420,25.729440,11.309241,0.609966,10.616121,8.484849,2.275081,0.118014,245.970293,30.003795,272.760358,1489.653310
164.320926,25.324508,11.770573,0.649755,10.615490,6.488613,2.151510,0.136018,204.929432,27.621118,228.645199,1248.648657
174.891315,27.485985,10.962543,0.709727,22.221896,6.362927,2.507264,0.275995,937.386944,1026.799436,1982.520040,22664.012391
106.777963,14.506088,4.379630,0.747386,20.724584,7.360907,3.312172,0.329419,261.544513,355.285793,614.645157,6553.124108
174.088812,23.787949,9.727441,0.646036,13.319887,7.318362,2.445448,0.165813,288.079185,42.343679,328.618782,2251.806334
157.190523,18.747229,5.092505,0.732832,17.633112,8.384734,3.681337,0.231004,329.173924,137.599979,447.399081,4058.468238
137.482612,24.094973,8.898703,0.739994,19.195779,5.705863,2.707695,0.268897,507.717937,522.751319,1018.868468,10061.482496
218.995546,23.606191,6.173491,0.708665,16.079594,9.277039,3.823799,0.178468,443.886499,69.943995,506.733368,4191.724072
219.453795,33.085844,8.140683,0.776118,19.371504,6.632861,4.064259,0.214781,956.993453,344.450019,1320.011966,13154.650426
107.962958,23.433665,8.891751,0.629406,13.520131,4.607173,2.635439,0.213721,182.510615,61.991055,246.960887,1717.699537
156.876049,24.683168,9.770949,0.659656,18.390505,6.355588,2.526179,0.241168,501.312591,278.374041,787.692746,7452.270562
69.933849,10.804878,5.180136,0.704358,15.487986,6.472433,2.085829,0.304197,91.443662,107.945983,200.779460,1599.750802
126.500354,16.987613,8.295731,0.791245,16.510101,7.446623,2.047754,0.241106,304.132547,156.356505,462.800990,3930.810646
180.052662,23.482024,10.620284,0.675032,11.766324,7.667681,2.211054,0.144027,253.256739,32.141400,291.537818,1764.711898
201.109886,24.475813,9.060255,0.730757,12.041163,8.216679,2.701449,0.139462,295.356929,36.157190,337.431577,2090.221349
166.273629,25.506147,11.828182,0.813098,21.602911,6.518963,2.156388,0.275172,963.844315,1080.656043,2030.472013,22565.626407
218.845878,28.933860,6.901499,0.776451,21.526871,7.563660,4.192402,0.239010,1006.112740,590.358493,1654.383834,18321.257722
181.758258,32.273217,8.235361,0.550885,22.106810,5.631860,3.918859,0.269329,745.151213,775.448801,1505.881946,17125.967268
184.857694,22.641104,5.511680,0.662069,19.305114,8.164694,4.107841,0.233215,471.966208,213.459884,674.650960,6700.228617
157.793950,19.636855,6.681694,0.738009,15.531015,8.035602,2.938904,0.203076,300.568121,67.813228,362.656170,2897.563859
96.386374,20.240021,6.491425,0.664682,19.302973,4.762168,3.117963,0.322939,269.530321,426.024627,696.551072,6916.960287
218.674591,23.234157,8.657098,0.628371,23.598640,9.411772,2.683827,0.262115,936.987981,665.010624,1620.840552,19677.293732
101.364564,17.619653,7.247599,0.580637,14.152391,5.752926,2.431102,0.230882,138.074374,57.852185,193.172432,1406.413614
140.946606,29.082403,12.620149,0.591927,22.833772,4.846457,2.304442,0.315903,780.440240,1200.293627,1904.733111,22374.322649
100.286634,20.428617,9.046134,0.797953,10.080038,4.909125,2.258270,0.165327,114.564640,17.511414,132.064039,684.833266
128.151025,22.303998,11.072465,0.569856,23.166341,5.745653,2.014366,0.336124,592.586810,780.932816,1396.332843,16641.195102
219.695822,32.922874,12.234839,0.849934,11.052112,6.673045,2.690912,0.122472,427.919872,53.575950,481.161159,2735.734377
203.087476,25.024869,12.362960,0.566686,18.223576,8.115426,2.024181,0.210037,627.937936,159.450428,790.614701,7412.020327
177.207197,28.089776,7.623494,0.632134,17.803228,6.308601,3.684633,0.219665,486.123674,181.467189,666.823140,6107.275794
211.549097,29.146493,11.019699,0.628497,13.588375,7.258132,2.644945,0.153450,408.819955,59.395631,458.768122,3206.999400
214.952771,30.165570,12.341991,0.698619,12.174093,7.125765,2.444141,0.136386,396.914499,52.937292,456.243333,2857.401452
153.684502,21.629563,5.495748,0.649559,10.050135,7.105299,3.935691,0.133156,112.729682,15.353678,128.228346,662.970258
182.259123,24.130423,10.368298,0.799203,18.194313,7.553084,2.327327,0.221358,677.655696,238.637115,931.593317,8719.671584
197.677756,28.361405,9.624213,0.804157,15.791715,6.969956,2.946880,0.184482,595.866433,109.493444,697.194751,5663.977408
132.158120,28.401954,9.726278,0.776767,23.394175,4.653135,2.920126,0.334245,853.741640,1526.384417,2367.991992,28498.767448
196.661544,23.113897,9.939883,0.578443,23.858775,8.508368,2.325369,0.279442,877.002484,803.241676,1653.441158,20294.342748
100.317665,12.653200,5.808877,0.767607,10.037658,7.928245,2.178252,0.164607,68.642819,8.130748,78.382739,404.753783
177.704441,21.576554,8.258656,0.690386,12.164237,8.235997,2.612599,0.149878,229.556590,28.868020,258.824036,1619.673886
125.391819,19.747520,6.105312,0.798473,21.277270,6.349750,3.234481,0.312094,466.575330,727.089407,1207.271025,13214.745306
176.619537,25.554341,6.130044,0.643097,19.943781,6.911528,4.168705,0.246486,527.742226,340.433004,867.843586,8904.039358
163.077153,21.313896,9.188126,0.744471,17.403570,7.651213,2.319722,0.223844,467.242346,166.057170,638.649902,5717.936136
167.556479,21.966996,8.317172,0.635281,20.704117,7.627646,2.641162,0.262712,558.650652,428.484727,1015.373126,10814.849450
141.279258,28.037589,7.580557,0.839108,17.492546,5.038923,3.698619,0.241723,514.524422,372.734830,866.596356,7798.444427
86.436645,13.344588,5.019063,0.661631,21.314977,6.477281,2.658781,0.376565,207.364006,173.642657,377.515536,4139.594523
190.703569,27.326561,8.788488,0.841653,23.217969,6.978689,3.109359,0.276152,1180.823008,1412.071687,2501.229167,29875.543313
141.097013,18.660730,7.418837,0.842187,17.939151,7.561173,2.515317,0.248054,415.414111,264.325060,684.459921,6316.667539
155.483312,33.761922,10.935079,0.748782,22.284010,4.605286,3.087488,0.293532,1006.630942,1657.869554,2594.058087,29737.957811
140.688874,26.686085,7.309260,0.739163,20.386280,5.271994,3.650997,0.282301,568.931484,772.862033,1362.378172,14288.076429
203.883588,27.690762,8.277305,0.708743,23.997255,7.362874,3.345384,0.276041,1096.821265,1185.011583,2295.950515,28344.069278
105.163646,12.383636,3.751216,0.704280,10.763558,8.492146,3.301233,0.172396,60.872577,8.058401,68.614752,379.936901
185.426527,24.317107,9.362743,0.618163,18.260356,7.625353,2.597220,0.220256,526.618282,172.309788,712.706594,6695.116348
214.027227,27.975267,6.788177,0.790579,11.873676,7.650587,4.121176,0.133307,319.939071,41.754176,362.161816,2212.207974
146.309050,29.691472,7.613847,0.680453,13.589898,4.927646,3.899667,0.184537,275.416625,61.328552,344.924430,2411.449945
224.807687,33.037870,12.747388,0.557045,11.934277,6.804545,2.591736,0.130736,353.253813,51.853159,399.650366,2453.660380
205.949043,22.437623,5.941588,0.657013,16.662543,9.178737,3.776368,0.190706,399.144751,73.816576,457.151389,3918.676619
116.168916,22.470001,5.820451,0.730321,22.492722,5.169956,3.860526,0.342768,471.578009,749.383053,1224.990415,14174.665228
173.731634,22.013175,6.361822,0.654292,16.042254,7.892166,3.460199,0.199908,324.790866,72.245522,392.431830,3238.677559
229.133861,28.540823,11.963409,0.838946,16.929051,8.028285,2.385677,0.183693,888.706961,148.882290,1026.978254,8944.003430
143.277908,28.676886,11.718837,0.665357,11.146303,4.996285,2.447076,0.152948,215.979062,34.682316,251.903849,1444.454114
105.969944,22.976606,6.884242,0.779795,12.475138,4.612080,3.337565,0.199048,166.835688,44.373899,208.216726,1336.284995
